features,location,price
 310 m²  244 m²  3 hab.  5 baños  2 estac. ,"Tumbaco, Quito",USD 205.000
 510 m²  300 m²  3 hab.  4 baños  4 estac. ,"Ponceano, Quito",USD 310.000
 800 m²  476 m²  3 hab.  5 baños ,"Nayón - Tanda, Quito",USD 320.000
 1245 m²  405 m²  4 hab.  4 baños  3 estac. ,"Tumbaco, Quito",USD 395.000
 220 m²  220 m²  3 hab.  3 baños  2 estac. ,"Norte de Quito, Quito",USD 250.000
 251 m²  251 m²  9 hab.  4 baños ,"Carapungo, Quito",USD 95.000
 125 m²  112 m²  3 hab.  2 baños ,"Norte de Quito, Quito",USD 75.000
 250 m²  250 m²  4 hab.  3 baños  3 estac. ,"Los Chillos, Quito",USD 188.000
 190 m²  150 m²  3 hab.  2 baños ,"Tumbaco, Quito",USD 150.000
 192 m²  192 m²  4 hab.  3 baños ,"Tumbaco, Quito",USD 200.000
 400 m²  220 m²  3 hab.  2 baños  4 estac. ,"Los Chillos, Quito",USD 165.000
 187 m²  146 m²  3 hab.  2 baños  2 estac. ,"La Armenia, Quito",USD 110.000
 240 m²  240 m²  4 hab.  4 baños  3 estac. ,"Los Chillos, Quito",USD 270.000
 165 m²  165 m²  3 hab.  2 baños  2 estac. ,"La Armenia, Quito",USD 119.990
 267 m²  169 m²  4 hab.  3 baños ,"San Rafael, Quito",USD 140.000
 1500 m²  600 m²  3 hab.  3 baños  3 estac. ,"Puembo, Quito",USD 1.700.000
 1065 m²  1000 m²  4 hab.  7 baños  15 estac. ,"Miravalle, Quito",USD 1.580.000
 115 m²  115 m²  3 hab.  3 baños  2 estac. ,"Los Chillos, Quito",USD 110.000
 510 m²  5 hab.  5 baños  2 estac. ,"Pifo, Quito",USD 248.000
 300 m²  248 m²  5 hab.  5 baños ,"San Rafael, Quito",USD 250.000
 228 m²  228 m²  4 hab.  4 baños ,"Cumbayá, Quito",USD 254.000
 90 m²  90 m²  3 hab.  2 baños ,"Norte de Quito, Quito",USD 81.000
 367 m²  292 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 250.000
 1100 m²  1100 m²  5 hab.  6 baños  8 estac. ,"Puembo, Quito",USD 1.250.000
 560 m²  190 m²  2 hab.  3 baños ,"Cumbayá, Quito",USD 360.000
 510 m²  420 m²  4 hab.  5 baños  3 estac. ,"Tumbaco, Quito",USD 445.000
 1700 m²  300 m²  3 hab.  1 baño  2 estac. ,"Cumbayá, Quito",USD 278.500
 265 m²  192 m²  3 hab.  3 baños  2 estac. ,"Tumbaco, Quito",USD 182.000
 117 m²  84 m²  3 hab.  2 baños ,"Norte de Quito, Quito",USD 71.900
 148 m²  104 m²  3 hab.  2 baños  1 estac. ,"Tumbaco, Quito",USD 97.000
